respondent,letter,cond,nword
R_eJ3FcvU2Dk9kSLX,"I would like to remember that a concussion can occur from a blow to the body, rather than a hit directly on the head. For example, you could get a concussion from an indirect hit and the resulting whiplash. Concussions present differently for each athlete and do not require a loss of consciousness. In fact, you may not notice symptoms for hours or days. Never hide or ignore a concussion, and report your teammates if you see them exhibiting signs of a concussion. Always get a potential concussion checked out and take time to recover.    Get checked out for a concussion if you experience some of the following systems: Amnesia, confusion and disorientation, headache (especially one increasing in pain), loss of consciousness, nausea, vomiting (especially if it happens multiple times), feeling sluggish/foggy/groggy/tired, feeling unusually irritable/anxious/emotional, experiencing unusual mood swings, difficulty concentrating or remembering things, slowed reaction times, sensitivity to light and noise, and difficulty balancing.",c1,155
R_2nN6i5PyXDVlSx7,"Remember common symptoms of concussions such as nausea, irritability, confusion, and others in addition to headaches. It is important to notice these symptoms because they can worsen or put you at risk for further injuries. There a lot of symptoms and it is important to be checked out once a concussion is suspected.   You don't need a blow to the head to sustain a concussion. It can happen without a loss of consciousness and leads to a lot of problems with thinking and cognition. It is important to take steps to avoid injuries. Don't hide a concussion and get checked if you suspect you  have one.",c1,106
R_7ZOm0fNmKy5uHhX,"A concussion is a functional, not a structural damage to the brain. Amnesia, confusion, headache, and nausea is a sign of a concussion. Mood swings, problems concentrating, and fogginess also can occur. Continued exercise, study, and use of electronics can make a concussion worse. Most people that have concussions do not lose consciousness. You do not need to have a direct blow to the head to get a concussion. To prevent a concussion wear a helmet. Play smart.    Report and get your concussion checked out. Then rest if advised so your brain can heal. repeat concussions are more likely to happen while you are recovering and can cause life sustaining injuries.",c1,111
R_bBqLa2ZRubkUpcV,"Concussions are very serious. Going on with a concussion will make symptoms and the concussion so much worse. Even if you don't think you have one, it is better to be safe then sorry. Knowing the signs of a possible concussion are very important and it's even more important to report a possible concussion.  Possible symptoms of a concussion include, amnesia, confusion, slow reaction time, nausea, headache, loss of consciousness, etc. Even if you think you only have one of these symptoms and they are pretty mild you must tell someone and see someone. If you continue to go on with your life, like exercising and studying, it will make the symptoms worse. Just talk to a doctor and a friend if you think you might have a concussion.",c1,129
R_7W1ST1QW5qQ6DVH,"Hey future me, just remember, concussions are bad. Concussions won't show up on an MRI or CT scan, so really it's all about diagnosing via symptoms. Even though it doesn't say in this video, if you hit your head, or somebody else does, always check for pupil dialation. Just do it, please. At this point in my life, I haven't gotten a concussion yet, I hope I don't. I remember when Kayt got hers, and she did not have any fun laying in her room; no TV, no books, no light, just darkness, boredom, and sleep. Don't do that to yourself.   Make sure you keep an eye on your teammates. Nausea, irritability, lack of concentration, and slight amnesia are all common symptoms of a concussion. Watch for these. Basically, if your brain doesn't work like normal and you've hit your head in some way, get checked out for a concussion. Not taking time to rest and letting your brain heal will only lead to more and more concussions. Pretty soon you'll end up like Mike Tyson, then. Don't do that to yourself.  Cheers.",c1,183
R_dcIVyQ09fXulPA9,"One of the most important things I took away from this video was that concussions do not always result in losing consciousness. Sometimes you may feel dizzy, get a headache, or even just see stars.     Another thing to remember is that concussions vary in severity. This is why it is so important to report symptoms of concussion to your doctor because certain activities such as exercise and cognitively stimulating tasks can actually make a concussion worse. It is better to miss one game than an entire season.",c1,87
R_5BK1Iz3uovT0NdH,"The key thing I would like to remember from this video is ""when in doubt, get checked out"". I think this is extremely important because many people hope to just ""sleep off"" any illness or injury they encounter instead of seeking professional attention. These habits can make injuries worse and lengthen recovery time. We do not want this to be the case, especially for a student athlete.        It also important to remember that there are many ways a person can sustain a concussion. It is a myth that you need to get hit in the head in order to get a concussion. There is also a wide range of severities of concussions and each one is different. We cannot necessarily define a concussion based off of someone else's experience with it. When in doubt, get checked out!",c1,137
R_00wMSVPxBwQPlZz,"As someone who plays a sport that has no protective padding or helmets and has a high risk for concussions, I should especially be more proactive and aware of the symptoms of a concussion. Figure skaters fall all the time, it's part of the sport, and we're expected to get up and keep going. Although, the majority of the time that's the case, I should be more aware of the symptoms of a concussion when I or a teammate takes a hard fall and there could have been even a slightest chance for a concussion. Especially following up later, since symptoms may not be prevalent right away.     I will make sure that if I think I may have a concussion I won't hide it from anyone and report it right away. I would rather find out I don't have a concussion from an expert than do more damage to myself by continuing to skate when I actually do have a concussion. I will also make sure I do the same for my teammates when I think they may have a concussion because I don't want them to do any further damage either and get the help they need right away.",c1,200
R_25bHhnlZg8MXFqd,"Remember the symptoms of a concussion: headache, nausea, difficulty concentrating, balance problems or dizziness, double/fuzzy vision, feeling sluggish/foggy/groggy, slowed reaction time, feeling unusually irritable, and/or trouble remembering things/feeling confused/amnesia.  It is important to get checked out by a medical professional if you are suspicious you may have a concussion. They need time to heal and you should not wait until it is unbearable.",c2,63
R_cYCXOdOeUOyLRTn,"From watching this video I hope to remember that just because you don't get knocked out, doesn't mean you don't have a possible concussion. It is important to talk to a health care professional to know if you either do or don't have a concussion. One of the most important things after a concussion is to get rest, so you don't get further damage. Since it is a brain injury, doing strenuous activities like exercising or studying can impact your recover time. It is better to get help right away and miss one game, rather than ignoring it and missing more games. The most important thing is to be aware of the symptoms and let someone know.",c2,117
R_6fyy1pSow6S5wI5,"Not all people who get a concussion lose consciousness. In fact, some symptoms might take a few days to appear. Symptoms include a headache, nausea, difficulty concentrating, irritability, slow reaction time, blurred vision, slowed reaction time, sensitivity to light and noise, trouble remembering things, and a feeling of confusion. A concussion is a brain injury, and should be treated with the utmost importance.    If you suspect you have a concussion, it is important to get checked out immediately. Once it is known that you have a concussion, you need to rest and let your brain recover. Activities such as heavy studying, reading, and playing video games can make a concussion worse, and as stated above symptoms can last for multiple days and even continue to get worse if not treated immediately.",c2,131
R_eE7EyWivzlWVZxX,"Remember that concussions are not always easy to diagnose. There are many signs that can indicate a possible concussion such as headaches, nausea, and sensitivity to light. A concussion can cause balance and vison problems that can affect academics and athletics, and they could be dangerous if regular athletic  activities continue to occur.    It is important to recognize when a concussion may be possible. Since it could be dangerous to continue to participate in athletics, proper steps need to be taken to prevent further injury. If left untreated, a concussion could cause long term brain injury and more trouble in the long run.",c2,103
R_bBB6qe5aevpWtAp,"I hope that I will remember the symptoms of a concussion such as headache, nausea, vomiting, dizziness, distorted vision, sensitivity, irritability, sluggishness, and trouble remembering things.  I also hope to remember that a concussion is an injury to the brain because I don't think I understood this prior to this study.      I also want to remember that it impacts brain function cognitively because I thought you just wanted to avoid additionally trauma to the head, but it is interesting that cognitive processes are impacted and individuals should take time off these activities as well.  It is important to get check out by a health care professional and take time off of your sport and school activities.",c2,116
R_56mM7fccMeyziBv,"You don't necessarily have to have been ""knocked out"" to get a concussion. Concussions are brain injuries that can seriously impact your level of functioning in the future. They slow down your ability to process information, react, come up with answers, and study. There are several symptoms of concussions and all of this information is easily accessible online.  If you think you have a concussion, just take the time to let someone know. Call UHS or UW Health to see what they can do in terms of running tests and assessing you. It's better to take these sorts of precautions than to keep quiet about it, because if you don't tell someone you might not be able to work out again for a very long time.",c2,126
R_0dIxrfzjwxKVKip,"First, I hope to remember the symptoms of a concussion. Some of these include nausea, sensitivity to light and noise, headache, tiredness or inability to fall asleep. By knowing these symptoms, it will be a lot more clear to tell whether I, or someone else on team, as a concussion. Knowing these symptoms is also important in order to tell a health care provider as soon as possible to get appropriate treatment to avoid further damage.    When reading this in the future, I also hope to remember that resting and recovering is a vital component to recovering from concussions. This means I would not be able to participate in gymnastics until I was cleared by a health care provider. I'd rather sit out and not participate for a little bit compared to risking further injury.",c2,135
R_430wv4XSSbuqgSx,"A concussion does not just occur when you are knocked out. It can occur if there is any sort of trauma or hit to the head. Some symptoms that might occur if you have a concussion are a headache, nausea, difficulty concentrating, balancing problems/dizziness, as well as double or fuzzy vision. Concussion can also make you feel sluggish/groggy, have a slower reaction time, a feeling of irritability, and trouble remembering things. There are many symptoms of a concussion and it is important to take them seriously.  Concussion can affect your everyday life. Your everyday life can also cause your concussion to worsen or not allow it to recover. Studying, being active and playing video games or being on any technology/ looking at a screen is not beneficial to your brains recovery. If you think you may have a concussion you should see a doctor or not participate is activates that can be more harmful. When in doubt, get checked out.",c2,160
R_3mapW9lWoEDyIU5,"If I ever feel any of the symptoms, no matter how severe, listed in this video, headache, nausea, difficulty concentrating, balance problems, double or fuzzy vision, if I feel slugglish or have a slowed reaction time, feeling irritable, and I'm having trouble remembering things it's important that I tell someone. I know that if I tell my teammates or coach, they will hold me responsible in taking action in seeing a health professional, taking a break from the sport I'm playing, and waiting until I'm fully recovered and symptomless until I paly again.     My brain matters and sports should not trump my health.  Don't take things lightly. If I notice one of my teammates experiencing these symptoms, I hope to educate them about what they might be experiencing and help direct them in the next steps they should be taking.",c2,140
R_eXUwCjShshnBGu1,"Concussions are something that need to be taken seriously. If you have any sort of accident that causes a sudden change in velocity and you later feel disoriented or in any way not yourself, speak up and say something. There is not harm and no one will look down on a player for being checked for a concussion, and if it isn't one there is probably another reason you don't feel yourself and that reason should also be addressed.     The sooner after a concussion occurs that it is diagnosed, the sooner you can begin to properly recover, and that leads to a faster and more likely a complete recovery. Waiting will just prolongs the symptoms, decreases quality of life, and can become very dangerous in the future if another injury to the head is sustained. It is better to miss one game or part of one game than to be out for an entire season because the concussion wasn't treated immediately.",c3,161
R_4Pi1nlFZo9xIMfz,"While reporting the possibility of a concussion can be scary, it can impact your future if you don't. Continuing to play with a concussion can lead to further injury, further brain damage, and can prevent you from returning to your normal caliber of play.  Not letting your brain recover after a concussion can cause issues that may affect your personal relationships, your health, and your potential to work.    However, reporting a concussion can prevent many of these side effects from happening.  By being diagnosed and receiving proper treatment, you can allow your brain to recover.  This means that you ma return to activity and your sport faster and will likely have fewer issues down the road.  It is important to get checked so that you don't put our brain and body at risk of further injury.  It is better to get checked out if you aren't sure than to wait it out.",c3,152
R_bgD7tgT3zwqEh2R,"Remember Paige's story about getting a concussion from hockey. She regretted waiting 48 hours before telling anyone about the symptoms and potential of having a concussion. Like she said, it is better to tell someone if you think you have a concussion (healthcare professional) to confirm concussion then right treatment which includes rest. Then you will have quicker return to sport/life.    If you don't heed this advice there is a lot of problems that can arise. Some consequences include higher chance of depression , anxiety and self-doubt, lower performance level (sports and career), and greater risk of other injury. We don't want any of these so if you don't know if you got a concussion, check to be sure. Don't just work through the pain.",c3,125
R_3TM8fzxjBh8HAC9,"It's important to tell someone if you get a concussion. If you get proper treatment, you can recover from it. If you don't get proper treatment, it can get way worse and affect life negatively in a lot of ways. Since my job is being a student, learner, and teacher, a concussion would severely damage my life. Hockey is cool, but it's not really worth making my life miserable to just play one more game.",c3,75
R_eGahVLBob3SRVDT,"Concussions are serious injuries that can have serious long-term consequences.  Not telling a teammate, coach, friend, or family member is a decision that can impact the rest of your life.  While it is hard to let go of playing the sport you love for a short amount of time, health and safety is far superior than any game will be.  It is better to miss a couple games to improve your health than an entire season or even give up the game for life.  I have had several friends who have had multiple concussions and cannot play their sport anymore because of the risk of another concussion.  Telling someone decreases the time of recovery, so you can go back to playing again sooner.    In addition to athletics, academics are extremely important, even more important than sports to me, and concussions can affect academic performance.  Your grades will suffer if you don't tell anyone, so it is important to take care of your concussion to receive good grades in school.",c3,169
R_eEX4uA9AfTefXH7,"When playing rugby, one of the most important things to remember is technique. Since rugby doesn't have protective gear for your head, it is very important to tackle properly to reduce the risk of an injury to the head. Tackling can be very dangerous, but injuries can be prevented with proper practice and technique.    If you experience a blow to the head, make sure to get it checked out. There are many different symptoms to a concussion, even if they may not be obvious. You would much rather have to sit out a game or two, than have to never play again, due to severe injury or damage to your brain. Take precautions and give yourself a break, if you need to.",c1,122
R_0ca3rPi25rQRPql,"A concussion can happen in many ways, and the symptoms may manifest themselves in different ways. Some concussed individuals may display some (although not all) of the following symptoms: amnesia, confusion, headache (most common), loss of consciousness, nausea, sluggish/foggy/groggy, irritability, concentration/memory issues, and slowed reaction time. Remember, a loss of consciousness is not necessary to receive a concussion.    Don't ignore symptoms--always report them to your coach or a health professional. If you or a teammate has taken a blow, make sure to tell someone. If you think you have a concussion, you should avoid exercise, studying, video games, and things that require hard thinking because it can make a concussion worse or prolonged.",c1,113
R_daIMaYENBY3bVDD,"Your probability of getting an injury or a concussion in your college career is very high if you continue with rugby. So if you have a headache, or see stars, or feeling sick, or are just irritable, get checked out. It's definitely not going to be fun if you don't and you end up having one.    Don't do that thing you did that one time when you hit your head, twice, and didn't do anything but sit out for a round because guess what, you're not invincible, and just because you've never had to go out on long term injury before doesn't mean you'll never have to. AND LISTEN TO YOUR DAMN TEAMMATES. THEY'RE TRYING TO HELP YOU. IF THEY ASK YOU TO GET CHECKED OUT, DO IT!",c1,128
R_egmq3PiwVRTFf6t,"Concussions cause functional damage to the brain, which typically isn't physically visible by CT scans. They obviously can be caused by a direct hit to the head, but they can also occur when hitting the ground too hard, i.e. and indirect hit to the head. Obvious symptoms include amnesia and loss of consciousness, but more discreet symptoms can include lightheadedness, dizziness, confusion, lack of focus - so if any of these occur after taking a hit, it's important to sit out instead of hurting your brain even more.    Playing rugby, it's incredibly important to be attuned to these symptoms. After hitting the ground, it's easy to have the wind knocked out of you and think ""this is normal,"" when immediately getting a bit dizzy or lightheaded. Persistent symptoms are very serious, though, and can lead to even further damage if not taken care of properly. I'd much rather get checkout out to make sure my body is okay than to risk permanent damage.",c1,163
R_1NwVfEuHJRUlCFn,"To future me, remember to take concussions seriously. I know you hate missing out and don't want to fall behind, but it's better to be cautious. It doesn't affect just the moment or game and it doesn't just affect you so make smart choices.    Be sure to look out for teammates and friends too. They might have the same misgivings about reporting a possible concussion too. It's better to play it safe and miss out a little than to ignore the signs and end up doing something that can't be fixed.",c1,91
R_0UqXdKd680LSBIp,"A concussion is a brain injury. You can't see a concussion, it is an internal injury to your brain. You don't have to be knocked out unconscious to have gotten a concussion. Concussions mess up the brain function.   One of the most common symptoms is a headache that won't go away. Nausea and difficulty concentrating are other symptoms. Sometimes, light and loud noises hurt you because of this overstimulation of the brain. Trouble remembering things and feeling confused is common. The brain needs to rest when you concur a concussion. Exercise, studying, and video games could make symptoms worse. Overall, your brain needs to rest and stressing it out could make the symptoms last longer. Tell health care professional, take time to recover, and don't ignore the symptoms if you think you have a concussion.",c2,135
R_9ZZJOBCRNfCA3L7,"Concussions can be very severe or very slight but it is still important to recognize when you may have one. It is a brain injury and there are many consequences that can affect you later in life. There are many warning signs including: headache, nausea, or difficulty remembering things. The symptoms may not always be very severe but it is important to speak to someone if you do feel as though you may have a concussion.   Being an athlete and a student as well, it is important not to ignore the signs and symptoms of a concussion. The effects can affect you long-term and it is not worth doing nothing now, to be disappointed later in life with the later problems that could arise. The most important thing is to tell something even if you aren't sure of what is wrong.",c2,141
R_9RbM72qaeDLtOpn,"A concussion isn't just a blow to the head, it could be due to a hard hit on your body too, and it has many symptoms including, feeling irritable, having a slowed reaction time, and having trouble remembering things. Some of these symptoms may show up a couple or even a few days later. Because of these symptoms, the brain is going to function differently signaling that it's injured.    Your brain needs to rest because it can't function like it normally does so allowing it to recover is important. If you do not rest, the concussion may worsen. This is a brain injury which is extremely important to take care of. Tell someone if you do not feel well after a hit to the head or body. Your symptoms should not be ignored.",c2,133
R_4UUosKPkUPAo5ut,Concussions are serious and if you have symptoms after getting hit on the head go to the doctors to get checked out. It's okay to take a break from school and sports because not resting could affect you in the long run.  Concussions can affect your school work and performance in sports so it is necessary to heal. Although concussions do not seem as bad as broken bones or hurt tendons and you cannot see the injury it is still important to take time off to heal.    You should not be afraid to check if you have a concussion because missing a month of activities is not as bad as permanently hurting your brain. People will not think your weak or faking it if you admit you might have gotten a concussion and even if they do your health is more important.,c2,142
R_2udMFUhkR0qGnYx,"Trouble concentrating, headache, nausea, dizziness, feeling confused  The brain needs to rest, if you don't it will make symptoms worse. Don't have to be knocked out or unconscious to get a concussion. Sometimes they will feel pressure in their head, and sometimes it is just feeling that you are not quite right and feel slowed down. It can be difficult to know these symptoms, they are always easily pointed   If you think that you have a concussion tell health care professional and take some time to heal. Do not ignore any symptoms that you feel are related to a concussion. It can change your life, and it is better to miss one game. Get it checked out.",c2,117
R_d0D5bElsWxEHK1n,"After watching this video it should be noted that concussions are much more serious than they are currently dealt with in sports. Even if you don't want to get taken out of the game or practice because your head hurts, it is generally a good idea to do so since in the long term, not acting on a potential concussion can do more harm than good. Also even if you play through a potential concussion you're not only making it harder for you to get better but you're also not playing your best and won't be able to preform well in your sport, in school and any other activities.    Some important symptoms to watch for if you believe you have a concussion are to watch how you feel immediately after the impact or even after a few days. Obviously if you have a persisting headache and it is either getting worse as time goes on or just will not get better, this is a sign of concussion. Some less apparent signs include nausea, hard time concentrating, feeling dizzy, sensitivity to light, sluggish feeling, and vision is off. While these are some that individually might not scream concussion, together they might call for concern of having a concussion.",c2,207
R_6Gvrnx6yerS8jcx,"Think about all they different symptoms of a concussion and if you are experiencing several of these you should take caution. If symptoms get worse you should go get help. Not getting help or continuing participation in sport can make a concussion worse and can affect your daily life.   If you think you have a concussion first tell someone. Second, give your brain time to rest and recover. Thirdly do not ignore a concussion, know the symptoms and get checked out. Not doing anything can make a concussion worse.",c2,89
R_71lF7bOyetFnnal,"If I've had some sort of blow to the body or head, I should be more aware of how my body is feeling after, as symptoms can appear hours or even days after the injury. I should look out for headaches that won't go away, nausea, difficulty concentrating or balance problems. I may also be sensitive to light or noise and feel sluggish. Apart from that, I may be groggy or just not be able to fall asleep at all.    The biggest thing for me to remember is that I don't have to be knocked out to get a concussion and continuing to play may only make it worse. Because of this, it is important that I tell someone, especially a health care professional so that I can be checked out to either rule out a concussion, or take care of it right away.",c2,144
R_6y90T7OQXRqGVlX,"Concussions are functional brain injuries that can range in symptoms, and are different for everyone who has one. Some of the typical symptoms include dizziness, confusion, headache and in more severe cases even a loss of consciousness. A concussion can come from a direct hit to the head, or indirect, meaning there's a secondary or whiplash injury to the brain.  Activities like participating in sports, studying or playing video games/ using the computer can be very difficult for someone who has a concussion and can even make the it worse. If you think you have a concussion, make sure to tell someone and get checked out by a health care professional, and make sure to take time to recover from it. It's better to get treated right away and miss one or two games, rather than missing an entire season because you didn't treat it right away.",c1,147
R_5pVPX1Qg1bstQ8t,"First off, there are a lot of ways where you can end up getting a concussion and it can actually change the way your brain works. Concussion symptoms are different for every athlete. To try to prevent getting a concussion you should make sure to follow the rules of your sport and make sure you are sufficient in the skills you need to have for your sport. Concussion symptoms do not show up right away. You can have amnesia, confusion, headache, not being yourself, nausea, slow reaction times etc. You should look out for your teammates and if you see any of them acting in a different way, you should tell the coach because it is worse to let the concussion go unnoticed.     It is important to get checked out if you think that you have a concussion. If you have a concussion and exercise, study, or even play video games you will be hurting yourself even more. It is important to let someone know if you think you have a concussion because you will be able to heal faster and get back to your sport sooner.",c1,187
R_emLZZoIxZhwnKRv,"Getting a concussion does not only mean getting a hit/blow on the head, it can also be to the body. If you suspect that you have a concussion always tell someone and go for a check up to make sure. Do not delay it.     Getting appropriate care will enable you to recover faster instead of risking yourself for second impact or greater injury. Not getting appropriate care will cause not just physical pain but also mental and emotional pain. It will also make it longer to recover fully. Some may even be fatal. Additionally, if you just continue to practice and do your sports, you will perform much worse and will not be able to get to your usual performance.",c3,120
R_2rSODDJUUkcQKtT,"By not reporting the symptoms of your concussion, you are going to feel miserable and potentially experience anxiety, depression, and self-doubt, along with a wide variety of physical symptoms leading to poorer performance in your sport. By not reporting your concussion, you are opening yourself up to further injury in your sport and academic consequences such as poorer test performance. You may also be at risk of harming your personal relationships or ability to perform at your place of work. Basically every activity you are a part of requires your brain to be fully functioning and a concussion dampens that functionality. By ignoring the symptoms or reporting them, but still engaging in risky activities, you are putting yourself at risk for long-term detrimental effects (dementia, mental health problems, etc.) and delaying your recovery or preventing a full recovery entirely.     If all of these physical, emotional, and mental effects are not enough to deter someone from not reporting their concussion, the possibility of death due to a second impact should be enough to scare them into reporting their symptoms. Most commonly, it is not the first concussion that does the most damage, but the second. By reporting the first concussion, you at able to see a physician, receive proper treatment, have rest time, and return to your activity. This lets many symptoms relieve themselves and your life to return to normal.",c3,230
R_74obPbaM6IlFKV7,"Concussions can cause many symptoms including prolonged headaches, sensitivity to light and noise, nausea, abnormal eyesight. Your brain in general does not send signals the way it should and you may be unusually irritable or groggy with slowed reaction time. If you have a concussion and continue to work your brain hard or engage is intense physical activity it could cause further damage.    Just because you weren't knocked out or had an extremely intense traumatic experience, doesn't mean you don't have a concussion. There are different levels of concussions and it is difficult to know if your symptoms are a concussion or not. So, it is important to understand some of the symptoms and if you notice any of them you are better off looking into it and being cautious.",c2,130
R_cxc6ivGICiqTQMd,"A concussion does not require you to lose consciousness. There are many different symptoms and they may be experienced differently depending on the person. Additionally, it is important to acknowledge that impairment in daily functioning is something that should not be taken lightly. The most important thing is to tell someone. Even if there is a hesitation, it's important to know that there could be a problem and to not take it lightly. It's better to be safe than sorry. Recovery is also important after acknowledging that you have a brain injury.  It's equally important to recognize what may worsen the symptoms of a concussion and what to expect if you are to, for example, watch TV, play video games, etc. Recognizing the symptoms of a concussion may also include being sensitive to light, taking a longer time processing information, sensitivity to noise, impaired vision or balance, etc. Concussions can affect academic performance, but the symptoms can also impair functioning in a range of a person's aspects of life, including social situations.",c2,172
R_0CaRx3VMUxXvELb,"From this video, I am remembering the 3 main takeaways which are: tell a health care professional, take time to recover, and know the symptoms. It's important to know the symptoms so that if you or your teammate has any of them listed we can see someone and get them checked out as soon as possible. It is also important to realize that it would be better to miss one game or practice then to miss you entire season. Concussions should not be overlooked at all. They are damage to your brain.     Also, as a college student I take my academics very seriously so I would rather tell someone that I think I have a concussion that never get checked out and fall behind on schoolwork.   It is important to keep an eye on your teammates as well as they might in their life get concussion and not tell anyone about it.",c2,152
R_bE4qDH9oqCHXmM5,"There are many different signs and symptoms of a concussion. Some of these are headache, nausea, difficulty concentrating, dizziness, feeling bogged down/slow, unusually irritable, and trouble remembering things. If I experience something that could cause a concussion I should be very aware of these signs, and if they are present I need to do something about it.     If I think I have a concussion I should not ignore it especially if I have signs or symptoms. I should tell a healthcare professional so they can assess me and determine if I have a concussion. If I do have a concussion I should take time off and rest so it can heal. Severe brain injury can change my whole life.",c2,119
R_d5wt8BlvN6yCmP3,"Remember that having a concussion is a health concern and it is important to diagnose having a concussion as soon as possible. It can affect your mental and emotional liveliness. It is an injury and is important to get the needed help. A concussion doesn't have to have knocked you out at the time of injury to be important.   Concussions can affect reading, studying, emotional relationships, balance and other normal activities. It is important to take the needed time away and get the help you need. It is never a good idea to hide how you are feeling and continue as if nothing has happened. Remember to get help as soon as possible, rest and don't ignore signs.",c2,118
R_7WMBDHfzPB3pTYV,"Symptoms include nausea, forgetfulness, balance problems, trouble concentrating, headache, and grogginess.  You should not continue exercising, studying, or playing video games.     You can get a concussion even if you are not knocked out and you should get checked out right away.",c2,41
R_8vldZPt0vgjhfRH,"This video is mostly about what a concussion does to the body. Some of the major things include nausea, foggy and impaired vision, irritability, headaches, and sensitivity to light and noise. These symptoms can come from things other than a concussion, but its important to be aware of their possible harmful effects.     Its incredibly important to be in tune with how you are feeling. Letting someone know if you aren't feeling like yourself is always a good idea because whatever negative effects that could result in a false alarm aren't as bad as an undiagnosed concussion could be to both your short term and long term health. Continuing to participate in activities that could worsen a concussion are much more threatening to the brain than the initial blow since you are already in a weakened state.",c2,136
R_9oeS6Mn0Z7ApdmR,"The important things to remember from this video is that there are many symptoms behind a concussion and that understanding them is very important. Never ignore these symptoms and when in doubt, get it checked out because it might be hard to determine the severity especially if you are having a hard time determining symptoms.    As well as understanding the symptoms, its important to know what to avoid if you think for any reason you may have a concussion. Doing these things you should avoid could make the concussion worse and cause longer lasting damage.",c2,95
R_3JyMEVOl0aO55lP,"There are severe consequences that can occur if you don't tell someone you might have a concussion. The road to recovery will be a lot longer and symptoms can get worse. Anxiety and depression can occur and get worse over time if a concussion is not treated. Overall life can be more difficult if a concussion goes untreated.  Lots of positive things happen when you do tell someone you might have a concussion. You get the right treatment you need and recovery is a lot faster. Also, getting back to competing and the same level is easier and faster to do. Even waiting a short while to tell someone can have a significant impact on recovery and it is easier to tell someone right away.",c3,125
R_0UjiWPPY191jkzP,"What I hope to remember from this video is that it is very important to tell someone if you think you might have a concussion. Symptoms of a concussion not only interfere with athletic performance, but also with everyday life, and by not telling anyone about your symptoms, you are putting yourself at risk for a lot of misery and potentially more harmful symptoms in the future. Additionally, it is more important to tell someone right away rather than wait a while, because again, you will probably be miserable and your symptoms will only get worse if you don't recover properly. By telling someone right away you can get on the road to recovery faster, and miss fewer games.     Additionally, I hope to remember that a concussion is a very serious injury, and like any other injury, it is important to fully heal before returning to competition. In fact, it is even more important to fully recover from a concussion because it involves your brain, and without a fully functioning brain it can be hard to do anything and everything. When it comes to a concussion, it is absolutely not worth trying to ""tough it out"" because the repercussions could be very bad and potentially even fatal.",c3,207
R_enfQn7ihrg9tENL,"It is so important to know your body and know one decision can change your life. If you feel you may have a concussion, or even symptoms of a concussions, it is crucial to tell someone. If you tell someone, your recovery will probably be shorter than if you did not tell anyone. The sooner you tell someone, the sooner you can return to life. You can get the right treatment, be directed on what the possible outcomes can be, and finally get back to running. Or even find out that you don't have one and be relieved!  If you do not tell anyone, you will regret it in the long run. Short term it will be easy to just put it outside of your head and not think about it, but this is the worst thing you can do. There is so much risk, and if another hit to the head happens, brain injury is much more likely. Your health is the most important thing, and failing to acknowledge it can really mess up your life. It's better to miss a couple days rather than a whole season. Don't be stupid. Tell someone if you think you have a concussion or concussion symptoms.",c3,204
R_5pcs4lGEW59JMfX,"Telling someone if you have a concussion is very important. You should tell someone if you think you have a concussion. If you don't tell someone, you will be sad, perform worse in the sport, increase the chances of getting more injuries, might develop mental health problems in the future, and make school, work relationships harder. An important message is if you don't tell someone, you may not be able to get back to the previous level you were at in your sport. Additionally, if you get another concussion, it can cause death due to the first concussion never be treated.  If you think you have a concussion, telling someone helps. You'll figure out from a doctor if you have a concussion, get treatment, allow your brain to rest, start performing your sport again, start competing, and be recovered. One important takeaway I got from Paige is do not let your pride go in front of your health. Your health should come first. Another important takeaway is ""It is better to miss one game than your entire season. When in doubt, get checked out"". I believe this quote truly defines how people should be thinking about concussions, or almost any injury.",c3,201
R_ba47PXq2xWtShhj,"Symptoms of concussions can vary between cases and people. Common symptoms include headaches, nausea, difficulty concentrating or balancing, grogginess, irritability, amnesia, slowed reaction times, and difficulty problem solving.  If you have a concussion, you should not hide it, you should report it, get checked out, and take time to heal. Repeated concussions can be very dangerous.",c1,56
R_6nDVV4Pwvk5nzGl,"Concussions can cause symptoms that are very mild at first, but it's important to let someone know if you suspect you have a concussion. Taking the proper time to recover is important.",c1,32
R_6Dsz8AiQh0SRy8B,"Concussions can happen even without losing consciousness or without a direct blow to the head. The symptoms are often subtle or hard to detect.Concussions are functional, not structural injury. A concussion doesn't mean you lost consciousness. An important tip to avoid concussions is wearing a helmet.   Even if you think you might have a concussion, let people know and get it checked out. Make sure you let yourself recover after. Some common symptoms are amnesia, nausea, headache, and confusion. Often people don't report themselves but others can see some symptoms. With a concussion, it is often hard to exercise or study, because it is a brain injury. In order to fully heal, it is necessary to let the brain rest before fully resuming your schedule.",c1,125
R_2bpXQNQr7GxAwlf,"If I feel light headed, dizzy, disoriented, or not myself I should evaluate if I have a concussion. It does not have to be caused by a hit to the head. If I think I might have symptoms, I should go see a doctor or medical professional and get there opinion.    This is because there are several consequences to not addressing a concussion, but no negatives from taking preventative action. If I am wrong and it's not a concussion, at least I know. If it is a concussion, because I got help immediately I will be able to return to my sport and life faster and will mitigate the effects the concussion may have upon me.",c3,116
